zona,antiguedad,metros,satisfaccion
3,26,70.4,1
1,8,94.4,5
1,24,99.8,2
4,9,80.6,4
2,7,115.7,2
3,30,95.3,1
2,22,59.7,1
2,15,66.7,4
1,1,110.1,1
2,9,101.6,4
5,32,42.5,3
3,18,123.7,3
2,38,105.0,2
3,36,123.6,2
5,34,80.4,4
2,0,82.6,5
3,2,61.8,5
3,23,153.4,4
4,13,85.6,2
3,33,129.7,1
4,12,73.8,3
3,6,94.1,3
4,4,48.2,3
5,12,80.4,3
1,25,114.6,1
3,5,58.7,2
3,31,116.8,1
2,12,98.4,5
2,12,63.9,5
1,26,77.5,5
3,34,78.5,3
5,17,88.8,5
1,31,76.6,5
3,12,69.3,2
5,5,82.4,1
5,33,64.3,5
2,30,57.8,3
1,30,88.8,3
4,35,112.1,5
1,19,51.8,5
2,7,90.1,5
3,23,73.8,1
5,22,65.6,1
1,15,111.3,3
4,25,77.0,3
3,10,127.5,2
1,24,70.5,2
5,31,99.7,3
5,3,84.3,4
3,18,71.1,4
5,26,104.7,1
4,2,86.1,2
5,25,105.1,2
5,36,88.8,2
3,32,62.9,5
2,27,87.4,3
1,32,91.3,3
3,14,114.0,5
1,13,67.3,3
4,3,89.0,4
5,28,47.0,5
2,12,106.3,5
3,34,63.0,2
1,18,44.8,3
1,35,88.5,1
2,5,117.6,4
5,6,51.9,2
5,13,62.8,1
4,1,71.4,1
3,19,61.8,1
3,26,99.5,1
1,26,69.8,1
2,8,72.0,3
5,6,104.6,2
3,22,71.1,5
2,25,100.8,3
2,37,65.7,3
4,35,59.7,3
1,15,44.1,4
5,6,136.5,4
5,10,82.0,2
3,35,96.1,4
3,18,89.2,3
4,39,94.0,4
3,26,91.2,4
3,23,137.7,4
2,4,64.0,3
3,23,51.1,1
4,15,64.7,5
1,33,56.6,5
1,5,108.7,3
4,7,110.5,3
2,26,66.0,1
5,27,55.2,3
1,33,81.1,3
5,20,124.8,4
1,15,19.5,3
3,12,103.2,1
5,14,63.1,1
1,26,116.0,3
4,21,63.1,4
4,11,82.9,5
3,8,52.3,5
1,28,65.6,3
3,9,124.6,1
3,8,110.5,5
5,13,80.0,3
4,34,68.2,5
2,18,42.7,4
1,23,80.2,2
3,3,89.2,3
2,13,87.9,3
4,30,87.7,2
5,30,62.0,4
2,23,88.3,2
5,35,89.0,4
3,11,122.3,3
3,6,136.7,3
4,3,86.6,4
4,7,70.8,1
5,30,88.4,3
5,36,74.8,1
1,5,71.4,1
3,20,88.5,5
5,5,63.9,5
2,33,105.2,4
1,5,87.4,5
3,25,96.3,4
4,3,85.4,1
4,29,71.8,2
5,36,66.3,2
4,29,84.1,4
1,10,76.3,1
5,33,95.8,4
3,12,89.9,5
5,30,55.9,1
5,33,91.7,5
5,19,56.4,4
1,24,74.6,1
5,34,82.6,3
4,7,38.1,2
3,0,92.3,4
4,17,93.8,1
5,7,86.0,3
3,35,79.4,3
1,34,80.7,3
4,15,65.6,5
2,12,83.3,5
2,28,76.2,1
1,18,92.3,4
1,3,59.9,1
5,26,95.9,1
2,29,93.6,3
1,2,86.5,5
1,31,79.0,3
2,21,103.8,3
2,33,48.4,4
2,34,101.5,3
5,26,96.1,3
5,13,97.1,4
3,14,99.6,1
5,28,73.7,5
2,2,83.5,2
1,9,105.9,3
2,20,100.8,5
1,37,95.2,4
5,30,52.1,4
2,32,103.4,5
3,7,119.2,1
2,11,115.2,3
5,10,95.8,5
1,29,51.1,2
3,21,113.6,2
5,8,86.3,5
3,29,26.7,4
5,25,99.4,2
5,35,52.7,1
4,22,57.6,3
4,5,74.1,5
3,35,121.8,3
3,7,80.7,1
5,2,96.8,3
3,31,133.7,3
5,18,129.9,4
5,25,87.4,4
2,5,84.0,2
3,28,58.5,3
4,16,72.6,3
5,39,100.6,1
1,25,99.9,3
1,37,92.8,1
2,31,114.9,1
3,33,70.7,2
1,3,88.6,5
3,31,108.3,1
3,24,104.6,5
5,15,116.8,2
