size_m2,bedrooms,age_years,distance_km,garden_m2,price
164.7,1.0,18.3,5.91,45.8,216330.0
70.4,5.0,33.9,6.51,2.6,79234.0
90.2,5.0,7.9,8.33,3.2,113769.0
138.1,3.0,24.0,6.52,7.1,179160.0
111.5,4.0,18.2,7.68,5.2,126920.0
170.1,3.0,21.7,8.23,12.6,229188.0
115.7,4.0,24.0,7.65,3.8,143717.0
91.0,2.0,5.4,8.37,25.4,128903.0
98.7,2.0,7.1,-1.52,19.5,148583.0
77.3,1.0,36.8,9.76,4.5,51646.0
71.7,3.0,23.5,2.38,27.8,104777.0
128.9,4.0,21.3,-0.67,6.0,184109.0
127.4,4.0,19.5,13.53,19.6,144582.0
148.8,5.0,24.3,2.86,11.0,211968.0
87.4,1.0,6.1,8.72,3.1,90918.0
160.7,4.0,8.0,4.91,5.8,231103.0
101.4,2.0,35.7,5.29,11.5,123096.0
157.2,2.0,21.8,9.93,4.9,196831.0
97.0,2.0,30.2,3.81,1.9,111700.0
87.9,3.0,12.7,9.49,39.0,116285.0
117.5,3.0,36.5,9.52,10.2,126329.0
140.9,3.0,24.1,12.66,50.3,171942.0
114.8,1.0,25.8,6.66,7.7,132080.0
92.4,5.0,26.6,12.19,4.8,105180.0
69.8,5.0,10.4,14.88,20.5,84180.0
68.0,2.0,-2.4,14.35,8.5,78119.0
125.1,3.0,7.1,10.34,14.2,148963.0
139.7,1.0,39.6,9.8,5.4,158725.0
105.1,4.0,35.6,19.4,11.1,98933.0
77.8,5.0,15.8,16.93,2.9,72013.0
136.2,5.0,16.4,4.93,35.0,205004.0
71.6,5.0,32.4,11.69,8.3,65252.0
88.6,1.0,18.0,10.41,4.2,84801.0
128.6,1.0,4.4,8.29,46.7,168237.0
42.5,4.0,35.2,8.61,0.2,39097.0
121.6,1.0,25.7,9.95,9.4,115637.0
92.6,1.0,-10.2,11.75,1.0,112845.0
113.3,4.0,16.2,8.88,5.9,134356.0
107.7,1.0,21.7,9.36,53.1,129623.0
116.1,4.0,25.8,13.57,2.4,127545.0
130.8,1.0,21.8,9.27,13.7,139204.0
87.2,4.0,12.4,10.18,29.2,129830.0
152.6,4.0,18.6,11.96,48.3,218032.0
131.8,1.0,23.5,14.53,26.1,136306.0
135.3,3.0,16.8,12.91,9.1,166957.0
144.9,1.0,15.5,9.51,36.9,181052.0
133.6,5.0,35.0,8.83,0.2,165472.0
135.3,3.0,8.6,3.11,8.2,206636.0
112.3,1.0,15.8,9.17,3.6,124967.0
67.2,5.0,-4.4,3.85,20.2,138777.0
105.9,4.0,26.5,3.9,18.3,141913.0
86.9,2.0,29.9,10.6,21.2,85842.0
67.3,2.0,26.6,7.6,0.5,78599.0
117.8,1.0,31.0,9.89,1.7,120947.0
92.9,3.0,25.3,5.49,17.7,100679.0
79.1,3.0,24.1,12.8,17.3,82038.0
78.7,1.0,25.7,8.58,13.7,65497.0
118.1,1.0,16.8,12.75,15.3,115572.0
120.8,3.0,34.3,10.69,21.9,128514.0
149.7,1.0,15.8,8.66,2.4,182974.0
109.6,4.0,2.5,6.09,41.2,163441.0
141.3,4.0,30.2,8.13,30.1,172074.0
152.1,4.0,42.2,11.31,8.6,170175.0
144.5,5.0,8.5,10.79,12.2,204585.0
39.0,5.0,18.8,3.22,21.2,60494.0
146.9,2.0,11.8,12.1,12.0,169897.0
120.2,3.0,15.4,7.14,19.1,142855.0
122.7,2.0,20.6,11.26,1.5,131403.0
121.1,1.0,5.1,5.21,2.8,165571.0
121.5,2.0,16.7,10.55,4.9,150177.0
119.6,4.0,2.4,4.81,1.1,183876.0
99.2,2.0,13.2,8.52,15.4,120995.0
53.0,5.0,5.8,6.81,6.5,84902.0
106.7,3.0,7.3,6.86,7.7,156165.0
85.9,4.0,-0.6,5.73,18.8,129165.0
142.4,3.0,34.6,7.39,24.2,177921.0
101.3,4.0,26.1,1.04,18.5,130370.0
112.5,2.0,-3.0,11.51,1.6,149375.0
84.5,4.0,12.8,11.85,4.9,99004.0
94.7,4.0,12.0,6.23,10.2,124043.0
109.7,5.0,11.7,2.48,66.9,193016.0
65.4,4.0,2.6,5.41,14.9,95276.0
119.0,3.0,29.1,11.79,16.0,126872.0
106.8,3.0,15.2,10.5,17.4,145071.0
74.4,1.0,25.6,6.8,21.6,68246.0
38.1,2.0,26.3,11.59,15.2,11914.0
125.4,2.0,36.5,3.83,4.7,141051.0
101.1,4.0,-1.8,5.55,12.4,163241.0
94.1,2.0,40.9,9.9,32.3,77226.0
102.9,3.0,35.2,7.62,8.2,123812.0
164.5,3.0,26.9,5.64,15.3,212650.0
108.5,2.0,48.6,-2.05,44.4,136063.0
112.6,3.0,22.5,10.68,7.8,123891.0
65.4,2.0,29.9,9.29,12.6,56054.0
159.4,2.0,11.1,1.03,45.0,247867.0
137.5,3.0,33.6,10.4,17.1,161103.0
142.0,5.0,22.0,7.94,19.5,187526.0
111.4,4.0,14.6,9.12,0.2,141363.0
137.5,4.0,45.4,11.78,13.0,154346.0
121.1,4.0,16.3,5.04,29.4,175759.0
128.4,5.0,20.1,10.85,27.4,170674.0
105.4,2.0,17.6,10.74,22.5,128495.0
65.8,3.0,10.9,11.05,6.8,77579.0
140.9,3.0,26.4,14.54,13.9,150670.0
52.0,3.0,28.9,10.63,17.4,28081.0
102.8,5.0,24.3,5.75,1.0,142025.0
103.9,1.0,-8.3,15.19,0.4,135902.0
78.7,3.0,32.1,3.57,2.2,84472.0
128.4,2.0,15.8,6.15,28.3,169526.0
104.0,5.0,5.4,4.14,3.6,172277.0
96.9,3.0,27.2,7.59,0.7,124302.0
125.6,1.0,26.8,12.33,1.8,127993.0
95.7,1.0,7.5,13.19,15.7,114967.0
151.7,5.0,49.7,9.85,8.9,181661.0
120.5,3.0,5.5,5.56,18.3,168954.0
95.8,5.0,-0.8,5.79,2.6,134972.0
51.7,1.0,6.1,5.59,14.3,55840.0
70.8,2.0,37.0,11.81,0.8,51401.0
142.6,3.0,17.9,4.37,4.3,195263.0
108.5,1.0,15.5,11.46,16.4,116146.0
101.5,2.0,19.3,7.87,29.0,118955.0
159.3,3.0,12.8,8.69,2.4,195649.0
71.5,2.0,11.7,14.05,18.0,58429.0
92.4,1.0,12.3,6.1,16.3,113001.0
95.8,5.0,28.5,14.65,3.4,90295.0
127.6,5.0,32.2,2.36,5.0,175066.0
90.1,3.0,7.3,4.7,2.8,120223.0
91.6,5.0,22.9,1.69,6.4,131959.0
61.8,3.0,29.5,5.01,8.5,85083.0
131.9,5.0,7.0,10.33,7.1,185014.0
134.2,1.0,14.0,10.95,21.7,157674.0
95.7,4.0,7.5,9.23,2.3,127427.0
114.9,1.0,4.5,9.07,4.5,129693.0
71.2,3.0,21.2,3.31,33.6,111134.0
95.8,5.0,11.2,2.69,2.2,154859.0
151.3,5.0,27.6,9.22,7.8,192092.0
114.1,2.0,19.6,13.39,25.6,130059.0
179.3,4.0,25.0,6.54,49.2,245621.0
86.4,1.0,16.5,2.93,9.7,110860.0
127.4,2.0,12.4,1.87,18.5,169375.0
104.1,3.0,18.9,5.28,22.4,142422.0
127.0,5.0,19.9,14.32,15.9,170804.0
109.8,4.0,11.5,7.17,9.7,155891.0
93.2,3.0,25.1,3.85,30.3,120585.0
84.0,2.0,29.0,5.56,3.1,98132.0
202.0,4.0,21.9,6.07,17.4,292723.0
107.7,3.0,40.6,9.06,2.2,116099.0
49.5,3.0,12.4,5.36,27.5,71745.0
90.5,4.0,26.2,4.44,16.0,114405.0
130.3,1.0,15.1,7.25,8.3,162754.0
95.0,5.0,22.8,9.87,30.0,142150.0
150.8,2.0,10.0,10.87,15.5,175451.0
140.1,3.0,33.4,10.2,2.5,167122.0
105.4,3.0,22.1,6.17,25.1,138975.0
95.8,1.0,34.3,1.22,5.8,120075.0
79.9,1.0,4.8,4.81,1.3,100834.0
89.0,3.0,14.1,9.14,20.0,95790.0
65.8,1.0,9.3,2.67,20.0,105029.0
146.1,4.0,13.6,9.01,54.6,200917.0
157.7,3.0,11.7,5.64,34.1,230829.0
72.3,2.0,18.6,5.67,14.0,85531.0
74.5,4.0,19.8,12.48,8.6,81635.0
56.9,2.0,19.5,8.87,43.0,65969.0
81.1,4.0,13.3,13.48,3.2,88421.0
16.8,2.0,22.2,4.24,0.6,6567.0
75.7,2.0,30.5,12.52,6.7,63720.0
148.9,4.0,9.2,11.64,0.2,201611.0
99.6,4.0,20.0,-3.98,15.1,160949.0
135.6,4.0,19.1,7.65,32.0,189721.0
95.3,3.0,25.6,14.17,9.0,106309.0
162.8,2.0,19.2,11.11,13.3,191640.0
116.0,5.0,19.8,6.23,0.5,159648.0
98.5,5.0,8.1,7.07,25.6,154496.0
186.6,4.0,20.3,2.79,2.0,268880.0
100.3,2.0,8.9,8.83,6.4,123670.0
73.4,5.0,26.2,0.83,7.7,110163.0
116.1,3.0,18.8,3.94,18.8,156623.0
108.8,2.0,20.5,12.48,5.1,126195.0
142.0,4.0,9.3,7.92,95.3,220641.0
82.4,1.0,29.6,6.55,13.1,87668.0
134.1,3.0,28.3,7.58,4.0,161763.0
135.6,1.0,30.3,18.97,82.0,145933.0
90.0,1.0,46.7,12.14,11.3,53141.0
114.9,3.0,19.4,4.9,16.3,154509.0
85.1,3.0,34.4,14.67,17.0,74311.0
180.4,3.0,18.5,7.64,34.5,233222.0
88.9,1.0,24.7,10.96,19.9,80816.0
96.4,1.0,24.4,5.65,6.5,103196.0
78.0,1.0,23.2,4.25,9.1,74259.0
99.6,4.0,27.9,11.21,2.5,101348.0
109.8,1.0,16.4,4.92,13.5,148527.0
133.0,5.0,20.5,4.87,52.1,193019.0
91.7,2.0,26.4,11.59,45.6,94438.0
104.4,2.0,41.0,3.35,14.0,105978.0
67.5,2.0,9.9,2.32,0.3,101703.0
85.2,3.0,-1.7,10.18,11.2,124020.0
192.7,2.0,14.2,0.16,6.1,272938.0
141.2,3.0,21.1,4.99,15.3,189549.0
86.6,2.0,22.1,6.54,46.5,106948.0
69.9,4.0,21.1,2.62,4.4,95325.0
80.7,5.0,34.2,3.53,17.5,103279.0
109.3,1.0,31.7,10.66,29.6,118050.0
111.0,1.0,19.4,9.17,13.0,130509.0
87.7,2.0,14.4,4.22,0.9,118839.0
71.4,2.0,15.8,10.12,38.7,100415.0
152.7,4.0,15.7,14.08,17.2,199225.0
123.6,4.0,17.3,2.87,17.7,184624.0
98.8,3.0,1.1,8.25,7.9,145046.0
103.4,5.0,14.5,15.91,6.0,111409.0
94.1,5.0,14.9,10.44,10.6,125461.0
21.9,5.0,17.7,11.25,33.1,14414.0
113.5,3.0,16.9,7.2,56.5,173164.0
77.9,3.0,28.1,4.81,1.7,86319.0
79.9,3.0,13.6,12.57,68.8,121034.0
90.8,2.0,14.7,10.61,4.1,109024.0
132.0,2.0,26.5,7.79,6.6,150984.0
74.9,4.0,17.2,6.14,26.5,92716.0
67.0,2.0,22.6,1.01,1.7,74411.0
129.2,1.0,28.0,8.62,22.2,155065.0
132.6,4.0,25.1,5.23,1.6,171955.0
81.2,3.0,23.0,7.47,14.2,84763.0
126.9,2.0,17.6,10.68,34.4,155542.0
101.3,2.0,28.2,11.28,4.4,115058.0
119.0,5.0,22.1,10.88,18.0,167847.0
72.2,1.0,13.9,17.02,9.7,51053.0
135.0,2.0,18.2,12.66,4.4,156740.0
146.1,3.0,5.4,5.02,3.3,211043.0
129.1,4.0,8.5,4.73,32.7,183289.0
126.8,3.0,-2.6,17.31,10.9,153506.0
-3.2,3.0,11.8,5.35,9.0,-10988.0
117.8,4.0,36.0,7.82,20.5,146339.0
109.2,4.0,13.3,14.98,19.5,129260.0
105.6,4.0,29.5,14.86,4.5,98335.0
91.1,5.0,20.0,7.78,7.8,125045.0
111.7,4.0,11.6,8.97,8.9,145006.0
122.4,1.0,36.1,1.46,37.2,142549.0
102.1,5.0,27.0,4.37,9.6,130807.0
96.1,1.0,-1.0,6.54,96.6,152321.0
146.9,5.0,32.5,7.98,12.2,201724.0
76.8,1.0,7.1,6.71,41.5,101458.0
140.9,5.0,17.9,8.61,3.5,199301.0
115.3,1.0,28.0,16.77,1.4,82742.0
85.9,5.0,16.4,9.86,1.1,104443.0
101.3,3.0,33.4,9.23,20.1,102601.0
82.4,3.0,29.1,8.01,15.2,89485.0
130.3,1.0,1.1,7.31,16.7,180285.0
120.4,1.0,14.3,12.93,6.7,127013.0
93.3,5.0,23.4,4.03,9.0,122232.0
76.9,2.0,13.1,7.5,42.6,109538.0
119.1,1.0,17.4,3.62,11.5,145322.0
138.7,3.0,29.6,8.35,39.0,178575.0
106.6,2.0,23.8,8.48,58.8,130935.0
122.6,3.0,9.0,11.68,23.1,163365.0
98.7,3.0,22.1,12.79,1.7,101786.0
112.0,1.0,12.7,10.65,9.9,134157.0
101.3,2.0,5.4,14.49,14.4,121964.0
118.8,2.0,6.4,14.35,0.5,154594.0
64.7,2.0,23.4,9.26,9.7,60603.0
129.3,3.0,19.7,9.49,0.4,149932.0
103.1,2.0,20.1,0.25,2.4,129064.0
120.8,5.0,6.2,9.28,22.5,172199.0
99.8,2.0,17.8,7.98,19.3,124547.0
119.6,3.0,7.6,1.25,0.5,169967.0
77.8,5.0,8.9,6.27,12.9,131303.0
145.7,5.0,18.0,11.83,14.2,194022.0
58.9,3.0,3.4,3.04,15.5,86608.0
78.8,2.0,28.0,13.17,79.1,84216.0
117.1,2.0,49.8,9.9,19.7,107081.0
153.9,2.0,25.5,7.09,8.9,190856.0
118.3,4.0,7.5,7.43,1.9,156746.0
102.6,4.0,16.7,11.32,6.5,136437.0
67.2,4.0,1.3,2.27,6.6,110377.0
104.3,4.0,15.5,16.16,9.5,116593.0
109.4,4.0,26.1,4.75,17.1,154333.0
160.7,2.0,27.1,4.94,1.8,194857.0
128.7,1.0,7.6,12.88,3.7,148152.0
64.1,3.0,23.6,11.16,8.3,75471.0
170.8,3.0,33.9,13.3,8.9,199351.0
98.1,5.0,41.1,12.18,8.5,104900.0
83.6,4.0,11.6,9.51,6.4,104984.0
154.2,2.0,9.6,2.89,5.1,205608.0
108.5,4.0,20.7,6.11,2.3,156733.0
99.0,4.0,-15.1,8.79,28.7,161535.0
116.6,3.0,13.6,7.93,6.0,166073.0
135.3,5.0,16.7,-0.21,2.3,200147.0
139.8,1.0,14.5,12.18,0.9,168546.0
68.7,3.0,1.0,14.92,0.9,74651.0
170.0,1.0,17.1,13.86,12.1,200907.0
138.4,4.0,10.7,3.93,0.2,208132.0
98.6,2.0,29.1,9.74,5.0,104564.0
85.4,4.0,9.0,-0.51,23.3,150201.0
80.9,5.0,16.6,14.76,1.4,79370.0
113.7,5.0,17.2,0.24,1.9,169983.0
90.6,3.0,26.8,9.64,21.4,119327.0
87.1,4.0,-10.6,12.65,0.0,121919.0
134.3,5.0,15.9,13.17,23.5,180443.0
120.9,1.0,29.1,9.38,3.7,125486.0
98.2,3.0,15.7,2.3,4.2,131881.0
132.0,2.0,1.7,7.6,54.6,180761.0
151.0,4.0,23.9,6.93,1.1,187776.0
77.2,5.0,24.0,9.47,8.6,108761.0
91.9,3.0,16.8,11.95,0.6,101260.0
138.3,3.0,6.1,10.65,23.4,177006.0
131.6,4.0,11.1,16.49,9.3,152548.0
116.8,2.0,16.2,10.64,0.6,141466.0
144.9,2.0,9.5,6.44,42.9,195449.0
77.4,1.0,-3.0,14.52,41.5,88167.0
65.6,5.0,10.8,6.74,7.1,88535.0
84.0,3.0,19.3,9.13,24.1,92617.0
113.7,2.0,13.9,8.72,7.0,152102.0
86.1,4.0,19.1,-1.17,10.0,132178.0
95.4,1.0,21.0,9.11,0.6,95471.0
80.7,2.0,30.8,9.16,13.6,73750.0
91.4,4.0,46.4,7.16,38.2,109399.0
79.9,5.0,28.8,7.43,5.3,99402.0
121.0,4.0,3.1,2.86,12.8,189632.0
133.8,1.0,-11.9,8.33,2.0,184940.0
95.6,4.0,18.9,14.01,3.8,104093.0
103.8,4.0,20.9,7.29,1.2,128794.0
92.6,4.0,6.1,5.91,7.2,121654.0
125.9,1.0,23.3,5.57,3.4,144527.0
112.7,3.0,10.8,16.07,7.0,145272.0
157.8,2.0,24.8,2.58,25.4,201871.0
77.1,1.0,16.1,11.38,1.6,71576.0
120.9,5.0,24.8,8.45,7.0,160610.0
123.3,4.0,-0.9,15.68,0.1,167843.0
420.0,6.0,2.0,1.0,300.0,709700.0
18.0,1.0,60.0,45.0,0.0,-135300.0
