listed_on,agent_note,size_m2,price
2024-02-22,viewing arranged for flat 52,131,272583.76
2024-02-23,viewing arranged for flat 53,117,173416.95
2024-02-24,viewing arranged for flat 54,50,221629.61
2024-02-25,viewing arranged for flat 55,87,261906.36
2024-02-26,viewing arranged for flat 56,295,248969.05
2024-02-27,viewing arranged for flat 57,247,126833.03
2024-02-28,viewing arranged for flat 58,59,312664.32
2024-02-29,viewing arranged for flat 59,290,353868.55
2024-03-01,viewing arranged for flat 60,46,337845.71
2024-03-02,viewing arranged for flat 61,188,188928.42
2024-03-03,viewing arranged for flat 62,95,276158.01
2024-03-04,viewing arranged for flat 63,196,122410.11
2024-03-05,viewing arranged for flat 64,75,351401.09
2024-03-06,viewing arranged for flat 65,120,133607.39
2024-03-07,viewing arranged for flat 66,246,274630.53
2024-03-08,viewing arranged for flat 67,290,319754.78
2024-03-09,viewing arranged for flat 68,79,327479.3
2024-03-10,viewing arranged for flat 69,277,270638.23
2024-03-11,viewing arranged for flat 70,128,164461.0
2024-03-12,viewing arranged for flat 71,52,243929.45
2024-03-13,viewing arranged for flat 72,43,233900.89
2024-03-14,viewing arranged for flat 73,212,272101.55
2024-03-15,viewing arranged for flat 74,282,309264.76
2024-03-16,viewing arranged for flat 75,130,289722.45
2024-03-17,viewing arranged for flat 76,123,377296.99
2024-03-18,viewing arranged for flat 77,57,289663.05
2024-03-19,viewing arranged for flat 78,259,226670.95
2024-03-20,viewing arranged for flat 79,160,347798.77
2024-03-21,viewing arranged for flat 80,290,231128.32
2024-03-22,viewing arranged for flat 81,253,266911.81
2024-03-23,viewing arranged for flat 82,229,260846.68
2024-03-24,viewing arranged for flat 83,226,112406.12
2024-03-25,viewing arranged for flat 84,107,266609.2
2024-03-26,viewing arranged for flat 85,265,267366.4
2024-03-27,viewing arranged for flat 86,167,237417.7
2024-03-28,viewing arranged for flat 87,97,241522.78
2024-03-29,viewing arranged for flat 88,243,172935.79
2024-03-30,viewing arranged for flat 89,42,254947.8
2024-03-31,viewing arranged for flat 90,221,340175.53
2024-04-01,viewing arranged for flat 91,299,239363.83
2024-04-02,viewing arranged for flat 92,255,218672.45
2024-04-03,viewing arranged for flat 93,230,213536.27
2024-04-04,viewing arranged for flat 94,181,371025.27
2024-04-05,viewing arranged for flat 95,79,168685.39
2024-04-06,viewing arranged for flat 96,210,300696.99
2024-04-07,viewing arranged for flat 97,127,256684.71
2024-04-08,viewing arranged for flat 98,134,365253.79
2024-04-09,viewing arranged for flat 99,293,328675.93
2024-04-10,viewing arranged for flat 100,89,244700.92
2024-04-11,viewing arranged for flat 101,287,157511.88
2024-04-12,viewing arranged for flat 102,221,335778.39
2024-04-13,viewing arranged for flat 103,186,337482.62
2024-04-14,viewing arranged for flat 104,40,183705.88
2024-04-15,viewing arranged for flat 105,258,294714.01
2024-04-16,viewing arranged for flat 106,243,201954.01
2024-04-17,viewing arranged for flat 107,54,203428.58
2024-04-18,viewing arranged for flat 108,41,153441.19
2024-04-19,viewing arranged for flat 109,106,305974.31
2024-04-20,viewing arranged for flat 110,200,266267.71
2024-04-21,viewing arranged for flat 111,127,279669.98
2024-04-22,viewing arranged for flat 112,194,337148.5
2024-04-23,viewing arranged for flat 113,209,290117.48
2024-04-24,viewing arranged for flat 114,67,285073.77
2024-04-25,viewing arranged for flat 115,273,294956.43
2024-04-26,viewing arranged for flat 116,193,186125.69
2024-04-27,viewing arranged for flat 117,73,247932.09
2024-04-28,viewing arranged for flat 118,237,177624.31
2024-04-29,viewing arranged for flat 119,159,196005.21
2024-04-30,viewing arranged for flat 120,179,244491.01
2024-05-01,viewing arranged for flat 121,282,313713.26
2024-05-02,viewing arranged for flat 122,214,373492.84
2024-05-03,viewing arranged for flat 123,214,184888.41
2024-05-04,viewing arranged for flat 124,224,260399.82
2024-05-05,viewing arranged for flat 125,239,245745.37
2024-05-06,viewing arranged for flat 126,93,281634.14
2024-05-07,viewing arranged for flat 127,294,284944.59
2024-05-08,viewing arranged for flat 128,280,271745.27
2024-05-09,viewing arranged for flat 129,226,191969.41
2024-05-10,viewing arranged for flat 130,125,273680.53
2024-05-11,viewing arranged for flat 131,48,303539.6
2024-05-12,viewing arranged for flat 132,191,219196.55
2024-05-13,viewing arranged for flat 133,252,368689.9
2024-05-14,viewing arranged for flat 134,66,235905.21
2024-05-15,viewing arranged for flat 135,235,211968.39
2024-05-16,viewing arranged for flat 136,299,267782.74
2024-05-17,viewing arranged for flat 137,81,234544.63
2024-05-18,viewing arranged for flat 138,210,167969.63
2024-05-19,viewing arranged for flat 139,172,248430.59
2024-05-20,viewing arranged for flat 140,160,345742.15
2024-05-21,viewing arranged for flat 141,284,370151.94
2024-05-22,viewing arranged for flat 142,187,215977.51
2024-05-23,viewing arranged for flat 143,60,304316.48
2024-05-24,viewing arranged for flat 144,47,257951.77
2024-05-25,viewing arranged for flat 145,112,267033.2
2024-05-26,viewing arranged for flat 146,102,326042.27
2024-05-27,viewing arranged for flat 147,247,301124.29
2024-05-28,viewing arranged for flat 148,293,259259.22
2024-05-29,viewing arranged for flat 149,162,194275.34
2024-05-30,viewing arranged for flat 150,61,182561.15
2024-05-31,viewing arranged for flat 151,232,246158.91
2024-06-01,viewing arranged for flat 152,76,269416.8
2024-06-02,viewing arranged for flat 153,247,280190.31
2024-06-03,viewing arranged for flat 154,189,296918.16
2024-06-04,viewing arranged for flat 155,132,308775.11
2024-06-05,viewing arranged for flat 156,241,105815.4
2024-06-06,viewing arranged for flat 157,54,304206.42
2024-06-07,viewing arranged for flat 158,261,187153.13
2024-06-08,viewing arranged for flat 159,91,316844.11
2024-06-09,viewing arranged for flat 160,263,270198.66
2024-06-10,viewing arranged for flat 161,157,287833.59
2024-06-11,viewing arranged for flat 162,237,217544.46
2024-06-12,viewing arranged for flat 163,100,266959.08
2024-06-13,viewing arranged for flat 164,130,137967.25
2024-06-14,viewing arranged for flat 165,297,315714.8
2024-06-15,viewing arranged for flat 166,191,230149.68
2024-06-16,viewing arranged for flat 167,124,94655.18
2024-06-17,viewing arranged for flat 168,251,313689.01
2024-06-18,viewing arranged for flat 169,167,350606.42
2024-06-19,viewing arranged for flat 170,76,197432.23
2024-06-20,viewing arranged for flat 171,279,322762.59
2024-06-21,viewing arranged for flat 172,61,205014.67
2024-06-22,viewing arranged for flat 173,191,114008.76
2024-06-23,viewing arranged for flat 174,159,228526.45
2024-06-24,viewing arranged for flat 175,193,269568.19
2024-06-25,viewing arranged for flat 176,120,258013.07
2024-06-26,viewing arranged for flat 177,123,256215.88
2024-06-27,viewing arranged for flat 178,40,267785.37
2024-06-28,viewing arranged for flat 179,292,262993.34
2024-06-29,viewing arranged for flat 180,174,237037.7
2024-06-30,viewing arranged for flat 181,265,213917.12
2024-07-01,viewing arranged for flat 182,136,234051.95
2024-07-02,viewing arranged for flat 183,278,228899.65
2024-07-03,viewing arranged for flat 184,269,231824.64
2024-07-04,viewing arranged for flat 185,165,183822.79
2024-07-05,viewing arranged for flat 186,126,217444.34
2024-07-06,viewing arranged for flat 187,62,254933.57
2024-07-07,viewing arranged for flat 188,212,268565.13
2024-07-08,viewing arranged for flat 189,171,246158.26
2024-07-09,viewing arranged for flat 190,187,238980.41
2024-07-10,viewing arranged for flat 191,104,282066.99
2024-07-11,viewing arranged for flat 192,117,298868.12
2024-07-12,viewing arranged for flat 193,186,290804.79
2024-07-13,viewing arranged for flat 194,161,145005.45
2024-07-14,viewing arranged for flat 195,201,222675.69
2024-07-15,viewing arranged for flat 196,135,292339.28
2024-07-16,viewing arranged for flat 197,202,280923.84
2024-07-17,viewing arranged for flat 198,101,290788.64
2024-07-18,viewing arranged for flat 199,133,268861.09
