size_m2,bedrooms,city,has_garden,price
297,4,Sevilla,True,247669.9
78,5,Bilbao,False,313979.47
71,3,Valencia,False,194701.96
113,5,Valencia,False,298283.02
92,2,Madrid,True,301164.91
229,1,Valencia,False,209938.76
228,2,Valencia,True,259794.64
187,5,Valencia,True,200154.88
298,4,Bilbao,False,390748.48
273,2,Madrid,False,207751.63
295,4,Madrid,True,222815.53
156,2,Sevilla,True,186049.72
184,2,Valencia,False,229232.72
145,4,Madrid,True,249647.44
113,2,Sevilla,False,296067.35
119,4,Valencia,False,213370.8
233,5,Madrid,False,238853.56
100,5,Bilbao,True,165010.64
78,5,Sevilla,False,200355.87
209,1,Bilbao,False,415348.45
179,3,Madrid,True,312474.59
108,4,Valencia,True,203114.56
118,5,Sevilla,False,169756.17
264,3,Bilbao,True,191465.03
50,2,Sevilla,False,248698.55
110,2,Madrid,False,252083.67
185,3,Madrid,True,205338.36
215,4,Sevilla,False,172805.53
189,1,Bilbao,True,335342.71
187,5,Valencia,True,277101.13
241,5,Bilbao,False,227525.92
203,2,Valencia,False,236760.33
203,5,Bilbao,False,
272,1,Valencia,False,73837.27
237,1,Sevilla,True,256939.71
84,5,Sevilla,True,185767.34
291,3,Sevilla,False,189838.94
78,5,Valencia,False,211584.26
285,3,Madrid,True,293938.1
71,2,Madrid,False,179768.15
295,2,Bilbao,False,163943.11
59,5,Valencia,False,288391.12
270,1,Sevilla,False,295262.13
178,1,Madrid,True,192463.98
186,4,Madrid,False,283743.86
83,5,Sevilla,False,232502.05
74,2,Valencia,False,268077.53
249,4,Valencia,True,174342.38
103,4,Bilbao,False,299973.67
45,1,Sevilla,False,322195.54
158,4,Valencia,True,288224.39
137,2,Valencia,True,283500.4
157,3,Sevilla,True,23663.49
163,3,Madrid,False,265637.78
57,1,Valencia,False,
96,2,Valencia,False,241177.27
110,4,Valencia,True,212165.32
132,4,Sevilla,False,253321.9
150,1,Bilbao,False,274727.04
97,3,Valencia,False,234172.71
248,1,Sevilla,False,222200.55
113,2,Bilbao,True,323785.23
153,5,Madrid,True,183677.97
280,4,Valencia,False,311809.31
299,5,Madrid,False,260608.75
148,1,Sevilla,True,201741.66
140,1,Madrid,True,232601.09
140,1,Valencia,True,194800.38
132,2,Bilbao,True,290503.87
198,1,Bilbao,False,270874.11
206,3,Valencia,False,216592.23
212,2,Sevilla,False,183866.9
242,4,Madrid,True,268102.97
211,1,Sevilla,True,307443.14
110,3,Bilbao,False,243169.82
62,5,Sevilla,True,275101.15
147,5,Sevilla,False,227438.37
191,2,Madrid,True,254054.15
278,1,Madrid,False,232523.03
231,2,Bilbao,False,267642.53
122,5,Madrid,False,159413.65
246,2,Sevilla,True,288651.43
210,1,Valencia,True,236204.05
193,5,Bilbao,False,271516.48
262,4,Valencia,False,229581.39
73,2,Madrid,True,269221.67
168,4,Madrid,False,185646.23
61,3,Valencia,False,321349.26
232,1,Sevilla,True,147787.32
123,2,Sevilla,False,
240,3,Valencia,False,264139.96
281,5,Valencia,True,337770.54
262,3,Madrid,False,266687.58
162,2,Bilbao,False,235125.49
201,1,Madrid,False,164494.59
272,1,Valencia,True,238523.4
69,4,Valencia,True,248807.38
159,4,Madrid,False,351434.12
116,4,Madrid,True,287327.51
236,4,Valencia,False,158254.43
296,1,Valencia,True,371606.75
166,2,Sevilla,True,226299.41
157,3,Valencia,False,197232.42
224,2,Madrid,False,338489.36
106,4,Madrid,False,247014.65
122,3,Bilbao,True,227955.84
83,5,Madrid,False,263127.16
271,3,Madrid,True,300693.33
171,2,Bilbao,False,309600.17
109,5,Bilbao,True,167487.86
201,5,Valencia,True,369908.89
41,5,Madrid,True,306811.7
135,3,Valencia,True,227247.94
227,4,Sevilla,True,200880.41
290,2,Sevilla,True,191859.25
215,1,Bilbao,False,257402.71
72,5,Bilbao,False,211119.02
210,4,Bilbao,True,
226,3,Valencia,False,298675.26
218,4,Valencia,False,271874.04
76,1,Sevilla,False,226325.72
192,1,Sevilla,False,294054.86
141,3,Valencia,False,332042.72
69,2,Bilbao,False,184330.22
295,2,Valencia,False,213802.49
213,2,Bilbao,True,306557.31
258,2,Bilbao,False,
41,3,Madrid,True,263601.93
148,3,Bilbao,False,319745.27
87,4,Bilbao,True,184707.3
275,1,Valencia,True,161251.73
149,1,Madrid,False,198009.56
212,2,Bilbao,False,257352.65
138,3,Madrid,False,202234.79
282,5,Madrid,False,220766.91
70,5,Valencia,False,191499.99
73,1,Bilbao,False,212774.25
151,1,Madrid,False,189712.77
191,5,Valencia,False,272047.97
202,2,Madrid,True,
265,5,Madrid,False,221173.24
138,2,Sevilla,True,237564.05
286,5,Sevilla,False,215138.05
224,3,Madrid,True,281875.07
189,1,Sevilla,False,255343.36
100,5,Madrid,True,345649.41
232,1,Bilbao,False,184271.68
77,3,Sevilla,False,271750.15
54,2,Bilbao,True,
